rank,uuid,collection_filter,canonical_id,expected_title,expected_year,expected_number,title,observed_act_id,observed_act_year,observed_act_number,collection,state_name,no_of_section,handle,last_modified,api_url,public_url,sections_url,schedules_url,inventory_source_blob_sha256,raw_blob_sha256
1,4d3bfe6b-a872-47d8-a0d5-1b3d437b81be,ACT,,,,,"The Kerala (Alteration of Name) Act, 2026",AC_CEN_5_0_202618_1788259652475,2026,18,ACT,CENTRAL,,123456789/619586,,https://indiacode.gov.in/server/api/core/items/4d3bfe6b-a872-47d8-a0d5-1b3d437b81be,https://indiacode.gov.in/act/4d3bfe6b-a872-47d8-a0d5-1b3d437b81be,https://indiacode.gov.in/act/4d3bfe6b-a872-47d8-a0d5-1b3d437b81be/sections,https://indiacode.gov.in/act/4d3bfe6b-a872-47d8-a0d5-1b3d437b81be/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
2,505f0079-9aee-49b0-93f3-dfd48511f81e,ACT,,,,,"The Tribunals Reforms Act, 2026",AC_CEN_3_46_202617_1788240133650,2026,17,ACT,CENTRAL,,123456789/619582,,https://indiacode.gov.in/server/api/core/items/505f0079-9aee-49b0-93f3-dfd48511f81e,https://indiacode.gov.in/act/505f0079-9aee-49b0-93f3-dfd48511f81e,https://indiacode.gov.in/act/505f0079-9aee-49b0-93f3-dfd48511f81e/sections,https://indiacode.gov.in/act/505f0079-9aee-49b0-93f3-dfd48511f81e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
3,63b87434-40a1-4eaf-a44e-adcc29215670,ACT,,,,,"The Viksit Bharat—Guarantee for Rozgar And Ajeevika Mission (Gramin): Vb—G Ram G (विकसित भारत—जी राम जी)Act, 2025",AC_CEN_18_21_00003_2025-36_1782898495903,2025,36,ACT,CENTRAL,0,123456789/619290,,https://indiacode.gov.in/server/api/core/items/63b87434-40a1-4eaf-a44e-adcc29215670,https://indiacode.gov.in/act/63b87434-40a1-4eaf-a44e-adcc29215670,https://indiacode.gov.in/act/63b87434-40a1-4eaf-a44e-adcc29215670/sections,https://indiacode.gov.in/act/63b87434-40a1-4eaf-a44e-adcc29215670/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
4,df9e8d57-1b22-4300-b88c-a07217e10524,ACT,,,,,"The Repealing and Amending Act, 2025",AC_CEN_3_20_00074_2025-37_1768215915280,2025,37,ACT,CENTRAL,0,123456789/496453,,https://indiacode.gov.in/server/api/core/items/df9e8d57-1b22-4300-b88c-a07217e10524,https://indiacode.gov.in/act/df9e8d57-1b22-4300-b88c-a07217e10524,https://indiacode.gov.in/act/df9e8d57-1b22-4300-b88c-a07217e10524/sections,https://indiacode.gov.in/act/df9e8d57-1b22-4300-b88c-a07217e10524/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
5,e3988e15-800a-4b73-9d53-3e482682cd29,ACT,,,,,"The Health Security Se National Security Cess Act, 2025",AC_CEN_2_2_00037_2025-35_1771398637863,2025,35,ACT,CENTRAL,0,123456789/496299,,https://indiacode.gov.in/server/api/core/items/e3988e15-800a-4b73-9d53-3e482682cd29,https://indiacode.gov.in/act/e3988e15-800a-4b73-9d53-3e482682cd29,https://indiacode.gov.in/act/e3988e15-800a-4b73-9d53-3e482682cd29/sections,https://indiacode.gov.in/act/e3988e15-800a-4b73-9d53-3e482682cd29/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
6,08c961e9-dbcd-4702-bb14-81e1eb71df64,ACT,,,,,"The Promotion and Regulation of Online Gaming Act, 2025",AC_CEN_45_0_00004_2025-32_1778133559220,2025,32,ACT,CENTRAL,0,123456789/496509,,https://indiacode.gov.in/server/api/core/items/08c961e9-dbcd-4702-bb14-81e1eb71df64,https://indiacode.gov.in/act/08c961e9-dbcd-4702-bb14-81e1eb71df64,https://indiacode.gov.in/act/08c961e9-dbcd-4702-bb14-81e1eb71df64/sections,https://indiacode.gov.in/act/08c961e9-dbcd-4702-bb14-81e1eb71df64/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
7,3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8,ACT,,,,,The Indian Ports Act 2025,AC_CEN_198_0_00008_2025-7_1780909543261,2025,27,ACT,CENTRAL,0,123456789/496080,,https://indiacode.gov.in/server/api/core/items/3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8,https://indiacode.gov.in/act/3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8,https://indiacode.gov.in/act/3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8/sections,https://indiacode.gov.in/act/3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
8,5a5bb080-385a-4542-8b8e-ac42e773708e,ACT,,,,,"The Merchant Shipping Act, 2025",AC_CEN_198_0_00006_2025-24_1777264737276,2025,24,ACT,CENTRAL,0,123456789/496078,,https://indiacode.gov.in/server/api/core/items/5a5bb080-385a-4542-8b8e-ac42e773708e,https://indiacode.gov.in/act/5a5bb080-385a-4542-8b8e-ac42e773708e,https://indiacode.gov.in/act/5a5bb080-385a-4542-8b8e-ac42e773708e/sections,https://indiacode.gov.in/act/5a5bb080-385a-4542-8b8e-ac42e773708e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
9,96e79827-df92-46cb-a785-ceb2abd287ae,ACT,,,,,"The National Sports Governance Act, 2025",AC_CEN_34_92_00002_2025-25_1767697307397,2025,25,ACT,CENTRAL,0,123456789/496361,,https://indiacode.gov.in/server/api/core/items/96e79827-df92-46cb-a785-ceb2abd287ae,https://indiacode.gov.in/act/96e79827-df92-46cb-a785-ceb2abd287ae,https://indiacode.gov.in/act/96e79827-df92-46cb-a785-ceb2abd287ae/sections,https://indiacode.gov.in/act/96e79827-df92-46cb-a785-ceb2abd287ae/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
10,d8fb7bca-f02c-4398-bc6b-15f874f0c2fe,ACT,,,,,"The Readjustment of Representation of Scheduled Tribes in Assembly Constituencies of the State of Goa Act, 2025",AC_CEN_3_20_00075_2025-21_1786951607239,2025,21,ACT,CENTRAL,0,123456789/619301,,https://indiacode.gov.in/server/api/core/items/d8fb7bca-f02c-4398-bc6b-15f874f0c2fe,https://indiacode.gov.in/act/d8fb7bca-f02c-4398-bc6b-15f874f0c2fe,https://indiacode.gov.in/act/d8fb7bca-f02c-4398-bc6b-15f874f0c2fe/sections,https://indiacode.gov.in/act/d8fb7bca-f02c-4398-bc6b-15f874f0c2fe/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
11,2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653,ACT,,,,,"The Coastal Shipping Act, 2025",AC_CEN_198_0_00007_2025-20_1777265394360,2025,20,ACT,CENTRAL,0,123456789/496079,,https://indiacode.gov.in/server/api/core/items/2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653,https://indiacode.gov.in/act/2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653,https://indiacode.gov.in/act/2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653/sections,https://indiacode.gov.in/act/2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
12,1a9b7c18-faca-4b25-83a0-774f39fc20fc,ACT,,,,,"The Bills of Lading Act, 2025",AC_CEN_198_0_00006_2025-18_1758263039996,2025,18,ACT,CENTRAL,0,123456789/496077,,https://indiacode.gov.in/server/api/core/items/1a9b7c18-faca-4b25-83a0-774f39fc20fc,https://indiacode.gov.in/act/1a9b7c18-faca-4b25-83a0-774f39fc20fc,https://indiacode.gov.in/act/1a9b7c18-faca-4b25-83a0-774f39fc20fc/sections,https://indiacode.gov.in/act/1a9b7c18-faca-4b25-83a0-774f39fc20fc/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
13,364683a7-2386-4b5a-8b9f-b2ad4605ea7e,ACT,,,,,"The Protection of Interests in Aircraft Objects Act, 2025",AC_CEN_36_0_000010_202517_1746601226831,2025,17,ACT,CENTRAL,0,123456789/496364,,https://indiacode.gov.in/server/api/core/items/364683a7-2386-4b5a-8b9f-b2ad4605ea7e,https://indiacode.gov.in/act/364683a7-2386-4b5a-8b9f-b2ad4605ea7e,https://indiacode.gov.in/act/364683a7-2386-4b5a-8b9f-b2ad4605ea7e/sections,https://indiacode.gov.in/act/364683a7-2386-4b5a-8b9f-b2ad4605ea7e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
14,21c04350-dcd1-4a44-8680-25e9d8b8853b,ACT,,,,,"The Mussalman Wakf (Repeal) Act, 2025",AC_CEN_44_0_00005_A2025-15_1745400820389,2025,15,ACT,CENTRAL,0,123456789/496506,,https://indiacode.gov.in/server/api/core/items/21c04350-dcd1-4a44-8680-25e9d8b8853b,https://indiacode.gov.in/act/21c04350-dcd1-4a44-8680-25e9d8b8853b,https://indiacode.gov.in/act/21c04350-dcd1-4a44-8680-25e9d8b8853b/sections,https://indiacode.gov.in/act/21c04350-dcd1-4a44-8680-25e9d8b8853b/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
